Target keyword,Target country,Title,Article status,Original publish date,URL,Original writer/translator,Category,Subcategory,Epic,Persona,Niche persona,Article type
digital marketing certificate,FR,8 digital marketing certificate reconnus par l'industrie + comment en obtenir un,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/digital-marketing-certificate,Julie,Business,Marketing,"Digital Marketer,Social Media Marketer,Marketing Analyst","Starter,Switcher","Considering,Applying",Certification
formation du salarié,FR,Libérer le succès grâce à la formation du salarié : Un guide approfondi,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/employee-development,Izea,Career Advice,Skills,For Companies,Starter,Considering,Long Explainer
analyst junior jobs,FR,Salaires et compétences d'analyst junior jobs pour se faire embaucher,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/entry-level-analyst-job,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Career Options
data analyst junior,FR,Data analyst junior : ses missions + comment débuter,Published,2025-05-08,https://www.coursera.org/fr-FR/articles/entry-level-data-analyst,Mateo,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Career Overview
entry level help desk jobs,FR,Comment trouver des entry level help desk jobs en 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/entry-level-help-desk-jobs,Jessica,IT,IT Support,"IT Support Specialist,Customer Service Representative","Starter,Switcher",Considering,Career Options
entry level it support jobs,FR,"Entry level IT support jobs : Compétences, formation et salaires",Published,2025-05-14,https://www.coursera.org/fr-FR/articles/entry-level-it-support-jobs,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Career Options
certification informatique,FR,10 certification informatique essentielles pour 2026,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/essential-it-certifications-entry-level-and-beginner,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher","Considering,Applying",Certification
ethical hacking certification,FR,4 ethical hacking certification pour booster votre carrière,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/ethical-hacking-certifications,Lydia,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher,Advancer","Considering,Applying",Certification
certification informatique gratuite,FR,Cours et certification informatique gratuite pour faire progresser votre carrière,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/free-it-certifications,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Certification
application ia générative,FR,20 exemples d'application IA générative dans différents secteurs,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/generative-ai-applications,Izea,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Starter,Switcher",Considering,Long Explainer
ia générative exemple,FR,IA générative exemple et fonctionnement de la technologie,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/generative-ai-examples,Izea,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Starter,Switcher",Considering,Resources
google analytics certification,FR,Google Analytics certification : Avantages et comment l'obtenir,Published,2025-05-10,https://www.coursera.org/fr-FR/articles/google-analytics-certification,Mateo,Business,Marketing,Digital Marketer,"Starter,Switcher","Considering,Applying",Certification
google dashboard,FR,Google Dashboard : Ce que c'est et comment débuter,Published,2025-04-21,https://www.coursera.org/fr-FR/articles/google-dashboards,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher","Considering,Current",Long Explainer
google sheet excel,FR,Google Sheet Excel : Quelle est la différence ?,Published,2025-05-10,https://www.coursera.org/fr-FR/articles/google-sheets-vs-excel,Izea,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Comparison
technicien helpdesk,FR,Comment devenir technicien helpdesk en 3 étapes,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/help-desk-technician,Jessica,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Career Overview
high income skills,FR,8 high income skills à acquérir en 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/high-income-skills,Alissa,Career Advice,Skills,Job Skills,"Starter,Switcher",Considering,Skills
métier informatique mieux payé,FR,7 métier informatique mieux payé,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/highest-paying-it-jobs,Izea,IT,"Career Path Planning,IT Support","IT Consultant,Choosing a Career,IT Support Specialist","Starter,Switcher",Considering,Career Options
comment fonctionne l'ia,FR,Comment fonctionne l'IA ? Les bases à connaître,Published,2025-04-14,https://www.coursera.org/fr-FR/articles/how-does-ai-work,Tiffany,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher","Considering,Current",Long Explainer
data analyst salaire,FR,Quel est le salaire data analyst ? Votre guide des salaires 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/how-much-do-data-analysts-make-salary-guide,Lydia,Data,Data Analytics,Data Analyst,"Starter,Switcher",Considering,Salary Guide
devenir data analyst,FR,Comment devenir data analyst,Published,2025-05-10,https://www.coursera.org/fr-FR/articles/how-to-become-a-data-analyst,Lydia,Data,Data Analytics,Data Analyst,"Starter,Switcher","Applying,Considering",How to (Jobs)
pentester,FR,Comment devenir pentester : Guide 2026,Published,2025-04-24,https://www.coursera.org/fr-FR/articles/how-to-become-a-penetration-tester,Lydia,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Career Overview
devenir chef de projet,FR,Comment devenir chef de projet : 6 étapes,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/how-to-become-a-project-manager,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Applying",How to (Jobs)
devenir prompt engineer,FR,"Comment devenir prompt engineer : Missions, compétences et parcours",Published,2025-05-09,https://www.coursera.org/fr-FR/articles/how-to-become-a-prompt-engineer,Julie,Data,AI and Machine Learning,Machine Learning Engineer,Starter,Considering,How to (Jobs)
architecte sécurité,FR,Comment devenir architecte sécurité : Guide carrière 2026,Published,2025-04-14,https://www.coursera.org/fr-FR/articles/how-to-become-a-security-architect,Lydia,IT,Networks and Security,Cybersecurity Analyst,"Switcher,Advancer",Considering,Career Overview
devenir web designer,FR,Comment devenir web designer,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/how-to-become-a-web-designer,Izea,Computer Science and Engineering,"Design and Product,Web and App Development","UX Designer,Front-end Developer","Starter,Switcher","Considering,Applying",How to (Jobs)
data analyst portfolio,FR,Comment créer un portfolio data analyst : Conseils pour réussir,Published,2025-05-08,https://www.coursera.org/fr-FR/articles/how-to-build-a-data-analyst-portfolio,Lydia,Data,Data Analytics,Data Analyst,"Starter,Switcher","Applying,Current",Portfolio
travailler dans l'informatique,FR,Comment travailler dans l’informatique : 7 étapes,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/how-to-get-a-job-in-it,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher",Applying,How to (Jobs)
certification comptia a+,FR,Comment obtenir la certification Comptia A+,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/how-to-get-comptia-a-plus-certification,Amanda,IT,IT Support,IT Support Specialist,"Starter,Switcher","Considering,Applying",Certification
comment travailler dans la cybersécurité,FR,Comment travailler dans la cybersécurité : guide de carrière 2026,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/how-to-get-into-cybersecurity,Tiffany,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,How to (Jobs)
how to get it certifications,FR,How to get IT certifications en 5 étapes,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/how-to-get-it-certifications,Amber,IT,IT Support,IT Support Specialist,"Starter,Switcher","Considering,Applying",Certification
entretien rh,FR,10 questions d'entretien RH et comment y répondre,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/hr-interview-questions,Izea,Business,Leadership and Management,"Human Resources Specialist,Interviews","Starter,Switcher",Applying,Interview Questions
certification hubspot,FR,Comment obtenir une certification HubSpot : Guide + avantages en 2026,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/hubspot-certification,Julie,Business,"Sales,Marketing",Digital Marketer,"Switcher,Advancer",Considering,Certification
gestion des ressources humaines,FR,"Qu'est-ce que la gestion des ressources humaines ? Carrières, compétences et premiers pas",Published,2025-05-10,https://www.coursera.org/fr-FR/articles/human-resource-management,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher",Considering,Long Explainer
cv informatique,FR,Comment rédiger un CV informatique (avec exemples),Published,2025-05-07,https://www.coursera.org/fr-FR/articles/information-technology-resume,Jessica,IT,"IT Support,Career Support","IT Support Specialist,Resumes and Cover Letters","Starter,Switcher",Applying,Job Resume
marketing international,FR,Marketing international : Guide de carrière (2026),Published,2025-05-14,https://www.coursera.org/fr-FR/articles/international-marketing,Izea,Business,Marketing,"Digital Marketer,Marketing Analyst","Starter,Switcher","Considering,Current",Long Explainer
informaticien fiche métier,FR,"Informaticien fiche métier : Rôles, exigences et perspectives",Published,2025-05-09,https://www.coursera.org/fr-FR/articles/it-job-description,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Career Options
chef de projet informatique,FR,Qu'est-ce qu'un chef de projet informatique ? Et comment le devenir,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/it-project-manager,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Career Overview
chef de projet informatique salaire,FR,Salaire d'un chef de projet informatique : Guide 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/it-project-manager-salary,Izea,IT,Networks and Security,"Project Manager,IT Consultant","Starter,Switcher",Considering,Salary Guide
technicien support informatique salaire,FR,Salaire du technicien support informatique : votre guide 2026,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/it-support-specialist-salary,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Salary Guide
vocabulaire informatique,FR,Le vocabulaire informatique de A à Z,Published,2025-04-19,https://www.coursera.org/fr-FR/articles/it-terms,Jessica,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Glossary
certification itil,FR,Qu'est-ce que la certification ITIL ?,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/itil-certification,Izea,IT,IT Support,"IT Support Specialist,IT Consultant","Starter,Switcher,Advancer","Considering,Applying",Certification
email de candidature exemple,FR,Comment rédiger un email de candidature exemple accrocheur,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/job-application-email,Amanda,Career Advice,Career Support,Job Applications,"Starter,Switcher",Applying,How to (General)
certification lean six sigma,FR,Certification Lean Six Sigma : Votre Guide 2026,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/lean-six-sigma-certification,Julie,Business,Leadership and Management,Project Manager,"Starter,Switcher,Advancer","Applying,Current",Certification
certification linux,FR,Que puis-je faire avec une certification Linux ?,Published,2025-05-08,https://www.coursera.org/fr-FR/articles/linux-certification,Izea,IT,"Networks and Security,IT Support","IT Support Specialist,Network Analyst","Starter,Switcher,Advancer",Considering,Certification
linux skills,FR,Linux skills pour 2026 (+ Comment les ajouter à votre CV),Published,2025-05-07,https://www.coursera.org/fr-FR/articles/linux-skills,Jessica,IT,"IT Support,Skills","IT Support Specialist,Job Skills","Starter,Switcher",Considering,Skills
machine learning certification,FR,6 machine learning certification populaires : Votre guide 2026,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/machine-learning-certification,Mateo,Data,AI and Machine Learning,Machine Learning Engineer,"Switcher,Advancer","Current,Applying",Certification
machine learning engineer salaire,FR,Salaire d'un machine learning engineer : combien pouvez-vous gagner ?,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/machine-learning-engineer-salary,Mateo,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher",Considering,Salary Guide
machine learning models,FR,Machine learning models : Ce que c’est et comment les construire,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/machine-learning-models,Mateo,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Starter,Switcher",Considering,Long Explainer
projet machine learning,FR,7 projets de machine learning pour développer vos compétences,Published,2025-04-21,https://www.coursera.org/fr-FR/articles/machine-learning-projects,Mateo,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher","Considering,Current",Portfolio
cv machine learning,FR,"CV machine learning : Conseils, exemples et guide de rédaction",Published,2025-05-07,https://www.coursera.org/fr-FR/articles/machine-learning-resume,Izea,Data,"AI and Machine Learning,Career Support","Machine Learning Engineer,Resumes and Cover Letters","Starter,Switcher",Applying,Job Resume
machine learning skills,FR,Machine learning skills : Votre guide pour débuter,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/machine-learning-skills,Izea,Data,AI and Machine Learning,Machine Learning Engineer,"Starter,Switcher",Considering,Skills
ai vs machine learning,FR,"AI vs machine learning : Différences, utilisations et avantages",Published,2025-05-05,https://www.coursera.org/fr-FR/articles/machine-learning-vs-ai,Mateo,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Switcher,Advancer",Considering,Comparison
marketing degree jobs,FR,Que pouvez-vous faire avec un diplôme en marketing ? 11 marketing degree jobs,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/marketing-degree-jobs,Alissa,Degrees,"Marketing,Degrees by Topic,Career Path Planning","Business Degrees,Digital Marketer","Starter,Switcher",Considering,Career Options
définition marketing,FR,Définition marketing : Qu'est-ce que c'est et pourquoi les entreprises en ont-elles besoin ?,Published,2025-05-08,https://www.coursera.org/fr-FR/articles/marketing-is,Izea,Business,Marketing,"Digital Marketer,Marketing Analyst","Starter,Switcher",Considering,Long Explainer
chef de projet marketing,FR,Qu'est-ce qu'un chef de projet marketing ? Et comment le devenir,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/marketing-project-manager,Izea,Business,"Leadership and Management,Marketing",Project Manager,"Switcher,Starter",Considering,Career Overview
microsoft excel certification,FR,Comment obtenir une certification Microsoft Excel (et pourquoi vous devriez le faire),Published,2025-04-25,https://www.coursera.org/fr-FR/articles/microsoft-excel-certification,Julie,Data,"Data Analytics,Data Basics","Data Analyst,Business Analyst","Starter,Switcher","Considering,Applying",Certification
traitement automatique des langues,FR,Qu'est-ce que le traitement automatique des langues ? Définition et exemples,Published,2025-04-08,https://www.coursera.org/fr-FR/articles/natural-language-processing,Mateo,Data,AI and Machine Learning,"Machine Learning Engineer,Data Scientist","Switcher,Advancer","Considering,Current",Long Explainer
sql vs nosql,FR,SQL vs NoSQL : les différences expliquées + quand utiliser chacun,Published,2025-04-19,https://www.coursera.org/fr-FR/articles/nosql-vs-sql,Izea,Data,"Data Science,Data Analytics,Data Engineering","Data Analyst,Data Engineer,Data Scientist","Starter,Switcher","Considering,Current",Comparison
oscp,FR,Qu'est-ce que la certification OSCP et en vaut-elle la peine ? Guide 2026,Published,2025-04-25,https://www.coursera.org/fr-FR/articles/oscp,Jessica,IT,Networks and Security,Cybersecurity Analyst,"Switcher,Starter","Considering,Applying",Certification
certification pentest,FR,Qu'est-ce qu'une certification pentest ? Guide des compétences et prérequis 2026,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/pen-tester-certification,Izea,IT,Networks and Security,Cybersecurity Analyst,"Switcher,Advancer",Considering,Certification
diagramme de pert,FR,Diagramme de PERT : Ce que c’est et comment les utiliser,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/pert-chart,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Long Explainer
phr certification,FR,Qu'est-ce que la certification PHR ?,Published,2025-04-24,https://www.coursera.org/fr-FR/articles/phr-certification,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher","Considering,Applying",Certification
plm,FR,Qu'est-ce que le PLM ? Guide des métiers de la gestion du cycle de vie des produits,Published,2025-04-24,https://www.coursera.org/fr-FR/articles/plm,Izea,Business,Leadership and Management,Project Manager,"Switcher,Advancer","Current,Applying",Certification
pmo,FR,Ce qu’est un PMO en gestion de projet : Guide 2026,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/pmo,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Long Explainer
certification agile,FR,6 certification Agile populaires en 2026,Published,2025-12-08,https://www.coursera.org/fr-FR/articles/popular-agile-certifications,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher,Advancer","Applying,Current",Certification
cloud security certification,FR,7 cloud security certification populaires pour 2026,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/popular-cloud-security-certifications,Lydia,IT,Networks and Security,"Cybersecurity Analyst,Cloud Engineer","Switcher,Advancer","Considering,Current,Applying",Certification
certification cybersécurité,FR,8 certification cybersécurité populaires [Mise à jour 2026],Published,2025-05-05,https://www.coursera.org/fr-FR/articles/popular-cybersecurity-certifications,Lydia,IT,Networks and Security,Cybersecurity Analyst,"Switcher,Advancer","Current,Applying",Certification
product designer vs ux designer,FR,Product designer vs UX designer : la différence expliquée,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/product-designer-vs-ux-designer-the-difference-explained,Amber,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher",Considering,Comparison
chef de projet vs chef de produit,FR,Chef de projet vs chef de produit : Quelles sont les différences ?,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/product-manager-vs-project-manager,Amber,Business,"Leadership and Management,Design and Product","Project Manager,Product Manager","Starter,Switcher",Considering,Comparison
objectif de la formation professionnelle,FR,"Qu’est-ce qu’un objectif de développement professionnel ? 10
exemples et comment les fixer",Published,2025-04-19,https://www.coursera.org/fr-FR/articles/professional-development-goals,Amber,Career Advice,Career Path Planning,Career Advancement,"Switcher,Advancer",Current,Career Options
gestion de programme,FR,Gestion de programme : ce que vous devez savoir sur ce métier,Published,2025-05-10,https://www.coursera.org/fr-FR/articles/program-management,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Long Explainer
program manager interview questions,FR,Program manager interview questions : 10 questions d'entretien de program manager pour vous aider à vous préparer,Published,2025-04-24,https://www.coursera.org/fr-FR/articles/program-manager-interview-questions,Izea,Business,Leadership and Management,Project Manager,"Starter,Switcher",Applying,Interview Questions
program manager vs project manager,FR,Program manager vs project manager : quelle est la différence ?,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/program-manager-vs-project-manager,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Comparison
ingénieur projet,FR,Comment devenir ingénieur projet ? Aperçu de la carrière,Published,2025-05-08,https://www.coursera.org/fr-FR/articles/what-is-a-security-engineer,Izea,Business,Leadership and Management,Project Manager,Advancer,Considering,Career Overview
métier chef de projet ,FR,Aperçu du métier de chef de projet : ressources pour votre parcours en gestion de projet,Published,2025-06-04,https://www.coursera.org/fr-FR/articles/project-management-career,Julie,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Applying",Roundup
project management certification,FR,Project management certification : Comment obtenir une certification PMP en gestion de projet,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/project-management-certification,Izea,Business,Leadership and Management,Project Manager,"Switcher,Advancer","Current,Considering",Certification
méthodologie gestion de projet,FR,12 méthodologie gestion de projet + Comment choisir la bonne,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/project-management-methodologies-your-guide,Lydia,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Skills
compétences gestion de projet,FR,12 compétences gestion de projet clés,Published,2025-04-19,https://www.coursera.org/fr-FR/articles/project-management-skills,Amber,Business,"Leadership and Management,Skills","Project Manager,Skills by Role","Starter,Switcher","Considering,Applying",Skills
vocabulaire gestion de projet,FR,Le vocabulaire de la gestion de projet : glossaire de A à Z,Published,2025-05-10,https://www.coursera.org/fr-FR/articles/project-management-terms,Mateo,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Glossary
triangle d'or gestion de projet,FR,Qu'est-ce que le triangle d’or gestion de projet ?,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/project-management-triangle,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Current",Long Explainer
lettre de motivation chef de projet,FR,Lettre de motivation chef de projet : Exemple et conseils,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/project-manager-cover-letter,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Applying,Job Resume
chef de projet salaire,FR,Salaire d'un chef de projet : Guide 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/project-manager-salary,Lydia,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Salary Guide
emploi prompt engineer,FR,Emploi de prompt engineer : votre guide de carrière 2026,Published,2025-06-04,https://www.coursera.org/fr-FR/articles/prompt-engineering-jobs,Julie,Data,"Data Science,AI and Machine Learning,Career Path Planning",Machine Learning Engineer,"Starter,Switcher",Considering,Career Options
purple team,FR,Quel est le but de la Purple Team ?,Published,2025-04-21,https://www.coursera.org/fr-FR/articles/purple-team,Izea,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher","Considering,Current",Long Explainer
red team vs blue team,FR,Red Team vs Blue Team en cybersécurité,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/red-team-vs-blue-team,Lydia,IT,Networks and Security,Cybersecurity Analyst,"Starter,Switcher",Considering,Comparison
emploi service client a distance,FR,Emploi service client à distance : Guide 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/remote-customer-service-jobs,Izea,IT,IT Support,"IT Support Specialist,Customer Service Representative",Starter,Considering,Career Options
cv sans expérience,FR,Comment rédiger un CV sans expérience : 5 conseils,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/resume-with-no-experience,Amber,Career Advice,Career Support,Resumes and Cover Letters,"Starter,Switcher",Applying,Job Resume
langage de script,FR,Qu’est-ce qu’un langage de script ? (Et pourquoi devrais-je en apprendre un ?),Published,2025-05-07,https://www.coursera.org/fr-FR/articles/scripting-language,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher","Considering,Current",Skills
scrum master certification,FR,7 certifications Scrum Master très demandées en 2026,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/scrum-master-certifications,Amber,Business,Leadership and Management,Project Manager,"Switcher,Starter,Advancer","Applying,Current",Certification
question entretien scrum master,FR,13 questions d’entretien Scrum Master et comment y répondre,Published,2025-04-21,https://www.coursera.org/fr-FR/articles/scrum-master-interview-questions-and-answers,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Applying,Interview Questions
scrum master vs chef de projet,FR,Scrum Master vs Chef de projet : les différences expliquées,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/scrum-master-vs-project-manager,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Comparison
scrum roles,FR,Les 3 rôles Scrum et leurs responsabilités expliqués,Published,2025-04-21,https://www.coursera.org/fr-FR/articles/scrum-roles-and-responsibilities,Amber,Business,Leadership and Management,Project Manager,"Switcher,Advancer",Considering,Career Options
service desk analyst,FR,"Service desk analyst : emplois, formations, salaires et parcours professionnels",Published,2025-05-05,https://www.coursera.org/fr-FR/articles/service-desk-analyst,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Career Overview
shrm certification,FR,Comment obtenir la certification SHRM et renforcer votre crédibilité RH,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/shrm-certified,Izea,Business,Leadership and Management,Human Resources Specialist,"Starter,Switcher","Current,Considering",Certification
site reliability engineer,FR,Que fait un site reliability engineer ? Votre guide,Published,2025-05-05,https://www.coursera.org/fr-FR/articles/site-reliability-engineer,Izea,IT,IT Support,IT Support Specialist,"Switcher,Advancer",Considering,Career Overview
six sigma certification,FR,"Six Sigma Certification : avantages, options et comment obtenir la
certification",Published,2025-04-19,https://www.coursera.org/fr-FR/articles/six-sigma-certification,Julie,Business,Leadership and Management,Project Manager,"Starter,Switcher","Considering,Applying",Certification
développement des compétences,FR,L'importance du développement des compétences et par où commencer,Published,2025-06-04,https://www.coursera.org/fr-FR/articles/importance-of-skill-development,Izea,Career Advice,Skills,For Companies,"Switcher,Advancer",Current,Long Explainer
gestion de projet logiciel,FR,Comment débuter une carrière en gestion de projet logiciel,Published,2025-05-10,https://www.coursera.org/fr-FR/articles/software-project-management,Izea,Business,Leadership and Management,Project Manager,"Advancer,Starter","Considering,Current",Long Explainer
sphr certification,FR,Qu’est-ce que la certification SPHR et est-elle adapté à vos besoins ?,Published,2025-04-19,https://www.coursera.org/fr-FR/articles/sphr,Julie,Business,Leadership and Management,Human Resources Specialist,"Switcher,Advancer","Considering,Current",Certification
certification sql,FR,5 certification SQL pour votre carrière dans les données en 2026,Published,2025-05-07,https://www.coursera.org/fr-FR/articles/sql-certifications-for-your-data-career,Amber,Data,"Data Analytics,Data Engineering,Data Science","Data Analyst,Data Engineer,Data Scientist","Starter,Switcher,Advancer","Applying,Current",Certification
sql vs mysql,FR,"SQL vs MySQL : différences, similitudes, utilisations et avantages",Published,2025-04-19,https://www.coursera.org/fr-FR/articles/sql-vs-mysql,Izea,Data,"Data Science,Data Analytics,Data Engineering","Data Analyst,Data Engineer,Data Scientist,Data Warehouse Developer","Starter,Switcher","Considering,Current",Comparison
analyse statistique,FR,"Qu'est-ce que l'analyse statistique ? Définition, types et emplois",Published,2025-05-05,https://www.coursera.org/fr-FR/articles/statistical-analytics,Izea,Data,"Data Analytics,Data Science","Data Analyst,Data Scientist","Starter,Switcher",Considering,Long Explainer
point fort et point faible entretien,FR,10 exemples de points forts et de points faibles pour les entretiens d'embauche,Published,2025-04-19,https://www.coursera.org/fr-FR/articles/strengths-and-weaknesses-interview,Tiffany,Career Advice,Career Support,Interviews,"Starter,Switcher",Applying,Skills
données structurées et non structurées,FR,Données structurées et non structurées : Quelle est la différence ?,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/structured-vs-unstructured-data,Tiffany,Data,"Data Science,Data Analytics","Data Analyst,Data Scientist","Starter,Switcher","Considering,Current",Comparison
salaire administrateur système,FR,Salaire d’un administrateur système : Guide 2026,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/system-administrator-salary,Izea,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Salary Guide
entry level tech jobs,FR,5 entry level tech jobs en 2026 : Aucune expérience requise,Published,2025-05-09,https://www.coursera.org/fr-FR/articles/tech-entry-level-jobs,Jessica,IT,IT Support,IT Support Specialist,"Starter,Switcher",Considering,Career Options
chef de projet technique,FR,Qu'est-ce qu'un chef de projet technique ? (Comment le devenir),Published,2025-05-07,https://www.coursera.org/fr-FR/articles/technical-project-manager,Julie,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Career Overview
pmp certification,FR,Comment obtenir une certification PMP : Vue d’ensemble,Published,2025-05-06,https://www.coursera.org/fr-FR/articles/the-pmp-certification-a-guide-to-getting-started,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Applying,Certification
types d'ia,FR,Les 4 types d'IA : découvrir l'intelligence artificielle,Published,2025-04-21,https://www.coursera.org/fr-FR/articles/types-of-ai,Tiffany,Data,AI and Machine Learning,"Data Scientist,Machine Learning Engineer","Starter,Switcher,Advancer","Considering,Current",Long Explainer
type de gestion de projet,FR,"Types de gestion de projet : méthodologies, secteurs d'activité et
plus encore",Published,2025-04-19,https://www.coursera.org/fr-FR/articles/types-of-project-management,Amber,Business,Leadership and Management,Project Manager,"Starter,Switcher",Considering,Long Explainer
ui design,FR,"Qu'est-ce que l'UI design ? Définition, conseils et bonnes pratiques",Published,2025-04-19,https://www.coursera.org/fr-FR/articles/ui-design,Jessica,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher",Considering,Long Explainer
ui et ux,FR,UI et UX design : quelle est la différence ?,Published,2025-04-19,https://www.coursera.org/fr-FR/articles/ui-vs-ux-design,Lydia,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher",Considering,Comparison
métier ux,FR,4 métier UX au-delà du design que vous voudrez explorer,Published,2025-05-14,https://www.coursera.org/fr-FR/articles/ux-careers,Amber,Computer Science and Engineering,Design and Product,UX Designer,"Starter,Switcher",Considering,Career Path
